,title
31,不知道該不該說魏成功傻人有傻福？都已經陷入局中局了還給我演得很開心XDD（甩妮）【燒燙燙的電影資訊：https://goo.gl/DxAfcG】…… 顯示更多
32,父子聯手也太讓人期待了吧！！！#李淳 演起李小龍一定相當出色（小短腿）【燒燙燙的電影資訊：https://goo.gl/DxAfcG】
33,小時候流浪很長一段時間，還只能翻垃圾桶找東西吃...花了32年才治癒的 #李程彬 好讓人心疼啊QQ（小短腿）【影劇大小事不漏接！快來下載星光雲APP  https://goo.gl/DxAfcG 】…… 顯示更多
34,"這次在青龍電影獎奪下影后的 #湯唯～能把這身難駕馭的禮服穿得這麼仙(´▽`ʃ♡ƪ)""（甩妮）CR：達志影像…… 顯示更多"
35,人生願望清單：能夠像這樣仰望偶的女神！！！不管是眼神魅惑的 #莉莉柯林斯 還是口愛爽朗的艾蜜莉，都讓人好喜歡呀（小短腿）CR：Instagram／lilyjcollins…… 顯示更多
36,當晚發生的事，他到現在還是很在意（甩妮）【歐美娛樂一把抓：https://goo.gl/DxAfcG】W…… 顯示更多
37,都還來不及享受新婚生活，就這樣在睡夢中過世了（甩妮）【更多新聞都在星光雲APP→ https://goo.gl/DxAfcG】#…… 顯示更多
38,小安女神！！！#安海瑟薇 登上香港版Vogue雜誌！！每個造型都美到不行～～～不多說了！！！大家自行品品！！！（羊羹）…… 顯示更多
39,就算在看兩人偷偷執行任務～也覺得很促咪餒XDD不過鬼鬼現在應該是對喬喬身體蠻了解的～才會講出這些優點吧（甩妮）【追星快訊不漏接：https://goo.gl/DxAfcG 】…… 顯示更多
40,我只能給她兩個字：勇敢！！（甩妮）更多歐美娛樂星聞都在星光雲APP →https://goo.gl/DxAfcG
41,演出《性愛自修室》《柏捷頓家族：名門韻事》走紅的英國女星 #西蒙艾希莉 近日登上時尚雜誌這種濕髮造型真的不是一般人可以駕馭的耶！！！（羊羹） 更多歐美明星消息都在星光雲App：…… 顯示更多
42,劇組為了拍攝不同場景～甚至跑了有200、300公里（甩妮）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】
43,歷史＋驚悚題材＋華麗陣容，完全很值得期待一波啊(*´∇｀)ﾉ目睹世子死亡真相的，竟然是盲人針灸師 #柳俊烈！究竟他能不能順利找出真相呢（珊迪）【「10學年傳說」金聖哲安恩真畢業後首合作！《#晝盲神探》驚人反轉超衝擊】…… 顯示更多
44,這就是小時候做的事～長大後加倍回報的概念！#巨石強森 甚至還幫店裡的所有人結帳耶(*´∀`)~（甩妮）【14歲窮到天天偷零食　巨石強森「掃空店家巧克力」曝超暖原因！】https://star.ettoday.net/news/2390890?from=fb_et_star_video…… 顯示更多
45,光看這位主廚～就覺得整間餐廳超詭異的ㄟ...（甩妮）【最新電影資訊  都在星光雲APP ：https://goo.gl/DxAfcG】#五星饗魘
46,還沒開追的人一定要去看啊...好喜歡這種唯美的浪漫劇！！！（甩妮）下載星光雲App，你就是追劇通：https://goo.gl/DxAfcG…… 顯示更多
47,《媽的多重宇宙》男主角關繼威也會加入其中！已經太期待《洛基》第二季的到來啦（珊迪）【更多影集資訊都在星光雲APP：https://goo.gl/DxAfcG】
48,而且還有現場樂團表演，這陣容說是小型頒獎典禮我也信XD滿滿的祝福，相信 #陳可辛 絕對度過一個很難忘的生日啦（珊迪）看更多影壇新消息  都在星光雲App：https://goo.gl/DxAfcG
49,4個孩子也將由兩個人共同監護兩個人的婚姻也正式畫下句點了！（珊迪） 更多歐美星消息都在星光雲App：https://goo.gl/DxAfcG…… 顯示更多
50,線上試鏡聽了 #荷莉貝利  的歌聲後更讓導演相信沒有選錯人！（珊迪）電影大小事不漏接  星光雲APP給你最新資訊：https://goo.gl/DxAfcG
51,只能說部落真的是風景美、人的心更美呀但這樣滿臉血走在路上會嚇到路人吧XDDD（珊迪）看更多影壇新消息  都在星光雲App：https://goo.gl/DxAfcG…… 顯示更多
52,為大家送上 #莎蒂辛克 的一些美照一眨眼我們Max都長這麼大啦現在完全是小女人一枚，超級漂亮又有氣質啦（珊迪）CR：Instagram／mollyddickson、ryanrichman…… 顯示更多
53,《驚奇隊長2》卡司表也正式出現 #朴敘俊雖然角色還沒公開，但小編我已經期待到不行啦（珊迪）電影大小事不漏接  星光雲APP給你最新資訊：https://goo.gl/DxAfcG
54,雖然長大了，但那個招牌笑容還是跟小時候一模一樣啊（珊迪） 更多歐美星消息都在星光雲App：https://goo.gl/DxAfcG#…… 顯示更多
55,歐買尬！超級可愛的瑪利歐來啦(*´∇｀)ﾉ不得不說場景還原度都太高了吧！看了好想住進蘑菇王國XDD已經迫不及待要和瑪利歐一起來場精彩的冒險啦（珊迪）最新電影資訊  快下載星光雲App：https://goo.gl/DxAfcG…… 顯示更多
